page_id,title,fullurl,categories
84730, Yharas Kine, https://warhammer40k.fandom.com/wiki/Yharas_Kine ,"[""Y"", ""K"", ""Characters"", ""Chaos"", ""Chaos Characters"", ""Chaos Space Marines"", ""Night Lords""]"
40, Abaddon, https://warhammer40k.fandom.com/wiki/Abaddon_the_Despoiler ,"[""A"", ""Black Legion"", ""Chaos"", ""Chaos Characters"", ""Chaos Space Marines"", ""Characters""]"
44, Adeptus Mechanicus, https://warhammer40k.fandom.com/wiki/Adeptus_Mechanicus ,"[""A"", ""Adepts"", ""Adeptus Mechanicus"", ""Factions"", ""Imperium"", ""Collegia Titanica""]"
48, Space Marines, https://warhammer40k.fandom.com/wiki/Adeptus_Astartes ,"[""S"", ""Adepts"", ""Adeptus Terra"", ""Factions"", ""Imperium"", ""Renegade Space Marine Chapters"", ""Space Marine Chapters"", ""Space Marine Chapter Homeworld"", ""Space Marine Equipment"", ""Space Marine Organs"", ""Space Marine Shoulder Pauldrons"", ""Space Marine Vehicles"", ""Space Marines"", ""Black Templars"", ""Blood Angels"", ""Blood Ravens"", ""Dark Angels"", ""Deathwatch"", ""Grey Knights"", ""Imperial Fists"", ""Iron Hands"", ""Raven Guard"", ""Space Wolves"", ""Ultramarines"", ""White Scars"", ""Space Marine Legions""]"
165, Adepta Sororitas, https://warhammer40k.fandom.com/wiki/Adepta_Sororitas ,"[""A"", ""Adepta Sororitas"", ""Adepta Sororitas Orders"", ""Adeptus Ministorum"", ""Factions"", ""Imperium""]"
202, Abhuman, https://warhammer40k.fandom.com/wiki/Abhuman ,"[""A"", ""Abhumans and Mutants"", ""Imperium""]"
247, Adeptus Ministorum, https://warhammer40k.fandom.com/wiki/Adeptus_Ministorum ,"[""A"", ""Adepts"", ""Adeptus Ministorum"", ""Calixis Sector"", ""Imperium""]"
1849, Adeptus Arbites, https://warhammer40k.fandom.com/wiki/Adeptus_Arbites ,"[""A"", ""Adepts"", ""Adeptus Arbites"", ""Adeptus Terra"", ""Calixis Sector"", ""Imperium""]"
12100, Departmento Munitorum, https://warhammer40k.fandom.com/wiki/Adeptus_Munitorum ,"[""D"", ""Adepts"", ""Adeptus Administratum"", ""Imperium""]"
13732, Gothic War, https://warhammer40k.fandom.com/wiki/12th_Black_Crusade ,"[""G"", ""Campaigns"", ""Chaos"", ""Chaos Campaigns"", ""History"", ""Imperial Campaigns"", ""Imperial History"", ""Imperium"", ""Imperial Navy"", ""Black Crusade"", ""Black Legion""]"
